,faultNumber,simulationRun,sample,xmeas_1,xmeas_2,xmeas_4,xmeas_6,xmeas_8,xmeas_9,xmeas_10,xmeas_18,xmeas_19,xmeas_21,xmeas_22,xmeas_24,xmeas_25,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_38,xmeas_39,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_9,xmv_10,xmv_11
130832,0,262,333,0.26178,3679.4,9.4041,42.476,74.276,120.37,0.31964,65.622,227.19,94.763,77.503,9.128,26.031,18.647,1.6391,32.907,13.905,24.084,18.521,2.2441,4.8796,2.2769,0.88304,0.1018,44.012,62.302,54.315,25.435,62.481,22.206,38.501,46.514,40.432,17.056
130858,0,262,359,0.22532,3701.3,9.3812,42.593,74.359,120.39,0.35009,66.082,237.37,94.499,77.127,8.9595,26.254,18.792,1.6519,33.288,13.907,23.765,18.683,2.2502,4.8343,2.2856,0.82079,0.1178,43.822,62.905,54.525,22.225,62.023,21.756,41.062,49.04,41.777,17.402
130878,0,262,379,0.18443,3664.8,9.2647,42.718,75.035,120.38,0.33514,65.593,229.55,94.635,77.626,8.8767,26.337,18.668,1.6534,33.004,13.777,23.642,18.558,2.241,4.7585,2.3171,0.82012,0.080226,44.031,62.031,54.113,18.081,61.926,22.661,39.69,46.428,41.091,17.715
130899,0,262,400,0.22487,3688.1,9.3047,42.162,75.712,120.41,0.33549,65.31,222.16,94.559,77.385,8.8644,26.428,18.613,1.6623,33.643,13.728,23.918,18.178,2.2437,4.826,2.3114,0.83802,0.10002,44.195,63.747,53.719,21.909,61.913,23.02,39.41,45.275,41.682,18.949
130914,0,262,415,0.1946,3692.4,9.3436,42.208,75.37,120.4,0.3377,65.65,232.07,94.641,77.299,8.9588,26.391,18.782,1.6664,33.137,13.746,23.941,18.221,2.2355,4.8099,2.1761,0.83639,0.1146,45.391,62.87,53.642,19.086,60.464,22.257,40.791,47.365,40.753,15.197
130932,0,262,433,0.2794,3690.0,9.2893,42.363,75.072,120.4,0.36531,66.126,240.83,94.459,77.313,8.9297,26.155,19.287,1.6549,33.08,13.785,23.686,18.93,2.2762,4.8082,2.2463,0.82379,0.10157,43.778,63.44,53.662,27.479,62.232,21.555,43.324,49.558,41.316,18.031
130945,0,262,446,0.27061,3616.3,9.2365,42.166,75.094,120.39,0.35376,66.152,237.68,94.727,77.524,8.7936,26.095,18.766,1.6912,33.027,13.817,23.685,19.044,2.3133,4.9291,2.2424,0.83694,0.092217,43.809,62.391,53.698,26.676,62.73,21.842,42.111,50.477,41.115,18.871
130955,0,262,456,0.26958,3672.1,9.4256,42.628,74.578,120.4,0.35038,66.166,241.31,94.606,77.574,8.8518,26.212,18.991,1.6727,33.141,13.757,23.617,18.25,2.3144,4.8298,2.3439,0.85293,0.093653,43.331,62.826,53.473,26.834,61.285,22.485,42.04,50.506,40.611,17.943
130960,0,262,461,0.27837,3671.9,9.3693,42.09,74.587,120.41,0.33964,66.184,242.13,94.525,77.523,8.7479,26.102,18.884,1.6245,33.128,13.79,23.421,18.455,2.3253,4.8721,2.3397,0.85231,0.095603,43.392,63.713,54.047,27.851,61.88,22.574,40.049,50.677,41.151,17.298
130982,0,262,483,0.24188,3686.9,9.4027,42.364,74.665,120.42,0.33938,66.128,239.26,94.69,77.609,8.7746,25.794,18.955,1.7063,33.666,13.818,23.536,18.143,2.278,4.8694,2.3553,0.83641,0.10093,44.016,63.272,53.545,23.939,60.665,23.134,40.551,49.958,40.975,19.675
130989,0,262,490,0.21754,3682.9,9.3815,42.125,75.095,120.42,0.32579,66.177,241.0,94.457,77.379,8.7852,26.268,18.497,1.6154,33.175,13.713,23.583,18.932,2.2496,4.8006,2.3702,0.81134,0.087961,43.317,63.723,53.525,21.905,60.173,23.252,38.689,49.812,41.52,17.108
130998,0,262,499,0.23238,3616.7,9.3519,42.333,75.214,120.38,0.34006,65.983,232.14,94.65,77.718,8.8471,26.153,18.687,1.6101,33.631,13.686,23.545,18.399,2.2597,4.8028,2.3212,0.80706,0.10982,43.961,62.821,54.071,22.896,62.535,22.938,40.674,48.628,40.631,17.177
130999,0,262,500,0.23432,3658.9,9.3123,42.145,75.619,120.41,0.33846,66.022,234.87,94.634,77.621,8.8471,26.153,18.687,1.6101,33.631,13.686,23.545,18.399,2.2597,4.8028,2.3212,0.80706,0.10982,43.961,62.095,53.638,22.705,60.688,22.962,40.869,48.267,41.308,20.383
131750,0,264,251,0.17848,3722.4,9.1395,42.051,75.482,120.4,0.3315,64.917,212.5,94.634,77.057,8.7818,26.997,18.955,1.648,32.725,13.864,24.548,18.152,2.2764,4.8657,2.3708,0.82973,0.099299,43.267,62.884,54.221,17.564,60.608,21.898,39.916,42.777,40.528,17.154
131761,0,264,262,0.35365,3687.0,9.2906,42.198,75.637,120.43,0.32346,65.037,209.98,94.375,77.254,8.9289,26.575,18.904,1.6441,32.131,13.722,23.878,18.771,2.2742,4.8039,2.3206,0.86787,0.09816,44.168,63.382,54.031,34.719,61.463,21.617,38.535,42.122,41.844,17.702
131763,0,264,264,0.2804,3621.2,9.1491,42.504,74.918,120.4,0.32498,64.925,209.5,94.792,77.092,8.9485,26.024,19.079,1.6692,31.543,13.779,24.477,19.417,2.2199,4.8631,2.3508,0.86787,0.09816,44.168,62.669,53.785,27.526,61.842,22.013,38.631,42.035,40.689,18.679
131789,0,264,290,0.2332,3676.5,9.5414,42.319,74.725,120.41,0.33037,65.545,231.2,94.439,77.933,8.834,26.497,18.657,1.6323,32.48,13.833,24.331,18.47,2.2587,4.8341,2.3388,0.85167,0.10118,44.18,63.355,53.868,22.845,60.194,22.891,39.251,46.692,41.597,17.167
131814,0,264,315,0.2701,3676.9,9.3457,42.065,74.839,120.4,0.32355,65.57,231.54,94.39,77.49,8.9102,26.468,18.825,1.6572,32.917,13.986,24.43,18.513,2.3001,4.6516,2.2546,0.83297,0.091815,43.789,62.936,53.308,26.564,60.9,22.309,37.302,47.325,40.778,15.526
131817,0,264,318,0.2359,3759.6,9.2762,42.119,76.302,120.4,0.35171,65.538,232.11,94.359,77.358,8.8392,26.303,18.436,1.6027,33.006,13.848,24.416,18.433,2.2695,4.7806,2.2912,0.84121,0.098788,44.234,63.344,54.175,23.54,61.466,22.44,41.315,47.172,41.619,20.096
131831,0,264,332,0.25275,3592.1,9.3399,42.799,75.069,120.37,0.33381,65.847,232.27,94.829,77.486,8.8682,26.526,18.524,1.6639,32.845,13.993,23.759,18.703,2.3023,4.8055,2.4086,0.84964,0.081379,44.244,63.002,54.314,25.031,59.404,21.712,39.466,48.34,40.637,16.034
131832,0,264,333,0.23103,3612.4,9.1737,42.149,74.758,120.39,0.35271,65.905,233.25,94.729,77.457,9.0079,26.456,18.976,1.6496,32.816,13.721,24.143,18.717,2.2331,4.8228,2.2729,0.84964,0.081379,44.244,62.957,54.165,22.771,64.077,21.34,42.079,48.299,40.493,17.288
131858,0,264,359,0.28266,3649.1,9.4299,42.337,75.55,120.4,0.35413,66.348,247.38,94.573,77.633,8.8376,26.143,18.65,1.647,32.874,13.606,24.123,18.832,2.2357,4.8989,2.2226,0.84395,0.098934,44.104,62.536,54.08,28.036,61.538,21.994,41.971,51.63,40.879,16.499
131878,0,264,379,0.20941,3681.6,9.2621,41.824,74.976,120.37,0.34609,66.572,256.35,94.534,76.999,8.8712,26.734,19.432,1.6764,33.385,14.049,23.94,18.364,2.2593,4.909,2.3169,0.84756,0.093855,44.035,63.3,53.805,20.635,63.868,21.92,40.769,53.995,40.536,15.271
131899,0,264,400,0.21037,3663.2,9.4294,42.498,75.179,120.38,0.35424,66.583,253.49,94.562,77.312,9.0513,26.258,18.584,1.6584,32.523,13.96,23.943,18.748,2.3001,4.8192,2.35,0.81773,0.10428,43.726,63.181,53.509,20.266,60.327,22.017,42.874,53.136,40.617,17.611
131914,0,264,415,0.27657,3717.0,9.4403,42.407,75.238,120.43,0.34412,66.378,243.9,94.575,77.639,9.0289,26.465,18.662,1.697,33.079,13.821,24.008,18.604,2.228,4.8082,2.3073,0.81685,0.090372,43.297,63.838,54.514,27.122,60.448,22.286,40.597,51.139,41.346,16.129
131932,0,264,433,0.27618,3668.0,9.2595,42.38,75.187,120.4,0.33508,65.708,228.92,94.676,77.227,8.9578,26.666,18.936,1.6363,32.536,13.765,23.976,18.375,2.2487,4.8682,2.2799,0.8095,0.097631,44.123,62.117,54.4,27.449,61.808,22.422,40.318,47.535,40.788,19.435
131945,0,264,446,0.24805,3663.1,9.4307,42.323,74.014,120.41,0.33421,65.407,224.88,94.584,77.314,8.7419,26.72,18.644,1.6927,32.706,13.691,24.678,18.333,2.2412,4.767,2.2383,0.82355,0.11289,43.728,63.105,54.482,24.473,62.39,22.475,38.862,46.006,41.718,19.766
131955,0,264,456,0.22181,3716.5,9.4347,42.354,75.629,120.42,0.31786,65.254,222.55,94.361,77.509,8.9841,26.648,18.507,1.6505,32.444,13.824,24.508,18.668,2.2638,4.7581,2.2744,0.82991,0.09505,43.157,64.205,54.586,21.908,60.838,22.817,36.866,45.019,41.888,19.944
131960,0,264,461,0.22016,3653.9,9.233,42.233,75.724,120.4,0.33237,65.239,222.41,94.756,77.737,8.8011,26.721,18.712,1.6374,32.58,13.624,24.171,18.325,2.2821,4.7194,2.2158,0.82261,0.094058,44.983,63.122,54.51,21.585,59.911,22.56,39.739,44.773,41.645,17.856
131982,0,264,483,0.26077,3641.6,9.2653,42.121,75.592,120.36,0.34203,65.548,222.5,94.79,77.157,8.8554,26.34,18.866,1.6879,32.58,13.807,23.381,18.991,2.241,4.9059,2.3387,0.87249,0.11034,44.123,63.026,54.218,25.355,60.549,21.24,40.888,45.939,39.685,17.733
131989,0,264,490,0.27269,3687.7,9.4006,42.233,74.819,120.43,0.35129,65.908,231.55,94.418,77.055,8.859,26.411,19.163,1.6461,32.924,13.923,23.394,19.522,2.278,4.8342,2.2787,0.85303,0.093182,44.813,63.924,53.18,26.619,60.245,20.555,42.069,47.842,41.029,16.322
131998,0,264,499,0.27662,3720.9,9.5229,42.324,75.04,120.39,0.34123,66.191,236.34,94.722,77.25,8.8018,26.567,18.903,1.7043,33.47,14.014,23.607,18.991,2.3339,4.9313,2.2772,0.85755,0.094432,43.527,62.726,52.93,27.665,63.672,21.185,41.186,49.497,40.22,18.259
131999,0,264,500,0.27796,3657.6,9.4724,42.448,74.645,120.45,0.34392,66.171,237.52,94.377,77.689,8.8018,26.567,18.903,1.7043,33.47,14.014,23.607,18.991,2.3339,4.9313,2.2772,0.85755,0.094432,43.527,63.817,53.289,27.534,60.337,21.461,40.858,49.7,43.008,17.544
144750,0,290,251,0.26059,3641.4,9.2856,42.15,74.674,120.42,0.34037,66.1,238.19,94.741,77.672,8.7333,25.879,18.714,1.7161,32.581,13.858,23.399,18.778,2.3145,4.9607,2.3715,0.81593,0.10025,43.857,63.599,53.835,25.681,60.824,21.36,40.28,49.133,41.072,17.534
144761,0,290,262,0.24324,3630.2,9.3085,42.338,74.192,120.41,0.33663,66.038,233.89,94.631,77.081,8.7736,26.196,18.974,1.6843,32.757,13.71,23.435,18.802,2.2579,4.852,2.225,0.83867,0.11825,43.621,63.575,54.279,23.851,61.657,21.916,39.995,48.526,40.658,16.896
144763,0,290,264,0.22853,3619.2,9.4954,42.559,74.779,120.38,0.3273,65.921,234.36,94.677,77.361,8.838,26.159,19.111,1.6527,32.945,13.614,23.51,19.06,2.3311,4.7766,2.3133,0.83867,0.11825,43.621,63.221,53.461,22.56,60.336,21.852,38.572,48.34,40.918,16.52
144789,0,290,290,0.21177,3679.4,9.3415,42.204,75.469,120.4,0.31199,65.262,226.08,94.506,77.282,8.8993,27.627,18.521,1.6852,33.237,13.869,24.749,17.61,2.299,4.7383,2.2641,0.81781,0.10245,45.258,62.788,54.632,21.178,60.486,23.808,37.054,45.825,41.07,17.966
144814,0,290,315,0.24346,3628.7,9.0197,42.317,74.359,120.35,0.35285,65.022,208.15,94.819,77.074,8.9488,26.446,19.174,1.6772,32.591,13.902,24.058,18.895,2.2893,4.8956,2.2923,0.86942,0.10701,43.994,62.852,54.054,24.357,61.231,21.47,42.578,42.459,40.001,18.735
144817,0,290,318,0.32873,3608.0,9.147,42.154,75.148,120.38,0.33403,65.109,211.82,94.774,77.488,9.0091,26.44,19.13,1.6562,32.466,13.726,24.389,18.909,2.2856,4.7984,2.2638,0.86042,0.11711,43.949,62.495,53.301,32.056,60.866,21.134,41.147,43.643,40.071,17.255
144831,0,290,332,0.27655,3671.1,9.3594,42.566,74.286,120.38,0.35585,65.634,227.37,94.674,76.984,8.793,26.511,19.199,1.6677,32.368,13.651,24.141,19.579,2.2502,4.8445,2.3118,0.88098,0.082519,43.961,62.952,53.413,27.041,59.575,21.469,42.991,46.932,39.725,18.441
144832,0,290,333,0.29705,3649.2,9.4075,42.13,75.706,120.43,0.31273,65.613,227.44,94.734,77.228,9.0365,26.474,19.231,1.6233,32.218,13.737,23.851,19.552,2.2699,4.7764,2.2838,0.88098,0.082519,43.961,62.117,53.313,29.288,60.212,21.4,38.008,47.254,41.582,19.565
144858,0,290,359,0.17198,3745.7,9.33,42.281,75.13,120.41,0.34392,66.158,244.93,94.416,76.962,8.7375,26.396,18.966,1.6847,32.909,13.764,24.018,18.594,2.2607,4.8493,2.1943,0.82401,0.1062,43.926,63.673,54.473,17.067,62.917,22.723,40.423,50.311,41.949,15.589
144878,0,290,379,0.26162,3697.6,9.345,42.495,75.776,120.41,0.32688,65.608,233.25,94.575,77.723,8.9372,26.756,18.551,1.6645,32.674,13.918,24.001,18.336,2.2423,4.745,2.2879,0.82207,0.081291,44.523,62.433,54.224,25.736,63.522,23.152,38.834,48.344,41.115,17.828
144899,0,290,400,0.22538,3632.5,9.2985,42.746,74.761,120.38,0.32802,65.589,227.67,94.792,76.551,8.7956,26.641,19.148,1.662,32.669,13.907,24.37,18.188,2.2513,4.7905,2.3244,0.83416,0.11436,43.569,62.541,53.605,22.002,61.374,21.622,39.167,46.441,39.854,20.95
144914,0,290,415,0.29874,3640.2,9.2947,42.28,74.936,120.37,0.35173,65.754,230.82,94.761,77.261,8.9989,25.927,18.928,1.6831,32.724,13.85,24.459,19.008,2.2862,4.7819,2.4053,0.8447,0.13013,43.445,62.339,53.092,29.478,61.324,21.47,42.402,47.54,40.307,16.045
144932,0,290,433,0.26938,3696.8,9.3402,42.292,75.386,120.41,0.34038,66.305,241.11,94.53,76.955,9.0584,26.349,18.627,1.6845,32.737,13.879,23.877,18.632,2.2996,4.8362,2.3189,0.84974,0.093619,43.604,63.273,54.017,26.643,60.628,21.559,39.735,51.099,40.724,16.61
144945,0,290,446,0.25293,3686.4,9.5274,42.199,74.524,120.42,0.34966,66.241,247.17,94.586,77.277,9.0265,26.226,18.759,1.6452,33.066,13.897,23.631,18.584,2.2553,4.8067,2.3823,0.81613,0.09377,44.063,62.937,53.174,25.395,62.101,22.857,41.266,51.81,41.784,13.649
144955,0,290,456,0.2424,3707.4,9.3556,42.521,75.915,120.43,0.35602,66.052,243.53,94.52,77.524,9.0804,26.314,18.427,1.7239,32.978,13.794,23.907,18.147,2.2767,4.8283,2.2778,0.8059,0.090146,44.132,63.666,54.547,23.89,63.614,22.898,41.057,50.688,40.997,16.629
144960,0,290,461,0.2255,3663.9,9.3053,42.705,74.499,120.39,0.34661,66.164,239.54,94.511,77.243,8.7099,26.241,18.287,1.6632,33.071,13.83,23.638,18.128,2.2651,4.8658,2.2539,0.7951,0.10459,43.814,63.036,54.637,21.902,60.636,22.951,40.692,50.12,41.151,18.022
144982,0,290,483,0.23655,3640.1,9.359,42.295,75.076,120.38,0.33883,65.352,218.33,94.592,76.938,9.0132,26.373,18.915,1.6693,33.647,13.755,23.771,18.509,2.262,4.9066,2.4168,0.8101,0.093242,43.91,63.018,54.326,23.711,60.356,22.377,40.518,44.756,40.808,19.11
144989,0,290,490,0.23155,3700.9,9.2859,41.993,75.196,120.42,0.323,65.307,211.93,94.61,77.027,8.8151,25.926,18.944,1.6467,32.889,13.783,24.217,18.456,2.2511,4.9074,2.3431,0.82235,0.090814,43.937,63.525,54.407,22.726,59.085,22.034,38.708,43.132,41.916,18.929
144998,0,290,499,0.28455,3674.3,9.285,42.329,75.569,120.41,0.33762,65.167,212.56,94.645,77.227,8.898,26.801,19.06,1.669,32.863,13.94,23.22,18.639,2.2514,4.9483,2.2736,0.85104,0.11304,43.949,62.924,53.689,28.02,59.465,21.617,39.87,43.325,41.218,18.701
144999,0,290,500,0.28505,3704.0,9.3207,42.373,75.245,120.39,0.33693,65.181,215.45,94.6,76.985,8.898,26.801,19.06,1.669,32.863,13.94,23.22,18.639,2.2514,4.9483,2.2736,0.85104,0.11304,43.949,62.413,53.842,27.971,62.018,21.395,39.954,43.237,40.628,16.434
157250,0,315,251,0.21884,3618.1,9.5204,42.591,74.537,120.38,0.3259,65.912,238.66,94.872,76.853,8.9513,26.726,18.295,1.6103,33.339,13.906,24.289,18.005,2.2661,4.8254,2.2539,0.80013,0.099557,43.26,61.917,54.512,21.789,63.081,23.216,38.176,49.013,40.714,18.902
157261,0,315,262,0.24455,3645.9,9.341,41.993,75.544,120.36,0.32885,65.522,224.67,94.589,76.88,8.8078,26.634,18.593,1.6625,33.079,13.75,23.942,18.22,2.2049,4.8336,2.3159,0.81339,0.096981,44.201,63.649,53.667,23.786,60.084,22.742,38.526,45.841,40.737,17.454
157263,0,315,264,0.23596,3725.1,9.3359,42.021,75.027,120.4,0.32815,65.411,220.6,94.53,77.565,8.9254,26.305,18.461,1.6728,33.437,13.838,24.167,18.243,2.2367,4.8294,2.2942,0.81339,0.096981,44.201,62.808,54.143,23.544,62.757,22.975,39.227,45.141,41.602,17.089
157289,0,315,290,0.24973,3607.3,9.3455,42.477,75.676,120.4,0.32417,64.891,204.06,94.761,77.351,9.0838,26.657,19.032,1.6788,32.603,13.819,24.17,18.648,2.3013,4.8533,2.3191,0.85904,0.12373,42.83,63.257,53.492,24.46,61.701,21.359,38.376,41.671,40.286,20.931
157314,0,315,315,0.27044,3711.8,9.4822,42.355,74.487,120.4,0.32454,65.452,225.53,94.345,77.42,8.9074,26.629,18.672,1.6557,33.347,13.816,23.687,18.439,2.2312,4.8317,2.2642,0.86549,0.097528,43.239,62.933,53.66,26.424,61.266,22.319,38.747,45.993,41.246,16.692
157317,0,315,318,0.21854,3735.1,9.3061,42.358,75.659,120.38,0.33084,65.542,228.95,94.381,77.536,8.8682,26.604,18.315,1.6277,33.129,13.71,23.646,18.614,2.2031,4.8568,2.301,0.8643,0.085285,43.214,63.464,53.812,21.318,62.893,22.652,39.67,46.986,41.852,19.482
