,faultNumber,simulationRun,sample,xmeas_1,xmeas_2,xmeas_4,xmeas_6,xmeas_8,xmeas_9,xmeas_10,xmeas_18,xmeas_19,xmeas_21,xmeas_22,xmeas_24,xmeas_25,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_38,xmeas_39,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_9,xmv_10,xmv_11
142794,0,286,295,0.24607,3689.3,9.2155,42.676,75.105,120.43,0.32921,66.165,235.83,94.423,77.384,8.9317,26.395,19.044,1.6775,32.572,13.8,24.239,18.339,2.2572,4.8946,2.3659,0.8263,0.097506,44.288,63.957,53.997,23.835,60.346,22.05,40.691,49.033,41.457,17.95
142817,0,286,318,0.24223,3735.3,9.3322,42.372,74.849,120.4,0.34621,66.055,233.18,94.523,77.159,8.8198,26.387,18.759,1.6546,33.091,13.761,23.943,18.789,2.2869,4.8461,2.3113,0.84735,0.065922,43.346,63.176,53.065,23.944,63.713,21.823,40.767,48.379,40.93,18.19
142822,0,286,323,0.21764,3673.4,9.3943,41.984,74.682,120.4,0.34564,66.006,235.25,94.502,77.687,8.9432,26.1,19.089,1.6455,32.977,13.776,23.544,18.791,2.2754,4.9468,2.2549,0.83356,0.089785,43.734,62.977,54.862,21.359,62.17,21.813,40.787,48.834,40.792,19.69
142827,0,286,328,0.24728,3649.1,9.4131,42.29,73.965,120.42,0.32603,66.016,235.36,94.572,77.572,9.0621,26.405,18.212,1.6472,32.934,13.899,23.9,18.382,2.3108,4.9392,2.2439,0.83217,0.099518,44.252,63.281,53.464,24.113,62.777,22.166,38.694,48.802,41.517,18.037
142840,0,286,341,0.26042,3669.2,9.3111,42.756,75.325,120.39,0.33013,65.757,231.15,94.508,77.197,8.7991,26.264,18.113,1.6852,33.24,13.723,23.682,18.726,2.2187,4.7235,2.278,0.80902,0.10645,44.03,62.456,53.8,25.45,63.904,23.137,39.452,48.052,41.008,17.079
142842,0,286,343,0.21902,3653.1,9.4401,42.426,74.858,120.4,0.32826,65.646,232.58,94.533,77.403,8.8986,26.615,18.858,1.6144,32.842,13.96,24.282,18.376,2.1946,4.7907,2.2652,0.80902,0.10645,44.03,63.233,54.314,21.772,62.817,23.018,39.378,47.301,41.898,18.868
142847,0,286,348,0.21462,3624.9,9.2573,41.927,75.568,120.39,0.34312,65.641,225.54,94.579,77.001,8.9763,26.87,19.183,1.6257,32.992,13.648,24.464,18.673,2.3056,4.8093,2.2949,0.82186,0.096883,43.817,63.588,53.718,21.042,62.336,22.604,40.605,46.325,41.36,19.103
142857,0,286,358,0.22894,3690.3,9.3618,42.155,74.364,120.4,0.31424,65.158,222.28,94.614,77.252,8.9634,26.797,18.672,1.6592,32.852,13.564,24.466,18.601,2.3149,4.8151,2.3695,0.82799,0.10492,43.893,62.646,54.061,22.738,60.911,22.905,37.318,44.623,40.888,18.214
142866,0,286,367,0.25874,3697.5,9.2886,42.286,75.534,120.39,0.33272,65.03,219.98,94.603,76.948,8.8676,26.58,18.791,1.6684,32.613,13.895,24.14,18.341,2.2655,4.6335,2.2533,0.81845,0.094504,43.918,63.053,53.931,25.506,61.116,22.461,39.732,43.977,41.33,18.286
142904,0,286,405,0.29237,3693.4,9.2848,42.324,75.47,120.42,0.32527,65.968,240.62,94.432,77.297,9.0609,26.703,18.422,1.683,33.118,13.958,24.085,18.205,2.2948,4.7785,2.2195,0.84749,0.10404,43.444,63.375,53.494,28.678,63.616,22.478,37.864,49.627,41.71,17.283
142919,0,286,420,0.29288,3674.5,9.3607,42.396,75.083,120.42,0.34308,66.277,243.68,94.449,77.208,9.0299,25.855,19.186,1.6611,32.806,13.805,23.4,18.208,2.1989,4.7636,2.2962,0.83412,0.09104,43.408,64.03,54.395,28.967,59.468,21.632,40.93,51.219,41.683,18.332
142922,0,286,423,0.2796,3666.3,9.2578,42.708,75.247,120.41,0.31551,66.243,245.16,94.568,77.449,9.0062,25.517,18.495,1.6673,33.331,13.94,24.103,18.521,2.2675,4.8487,2.2783,0.84706,0.099619,44.026,63.133,53.44,27.756,60.881,22.522,37.321,51.221,40.657,18.439
142925,0,286,426,0.30432,3694.9,9.3057,42.331,75.541,120.41,0.34748,66.245,245.9,94.585,77.454,8.9745,26.383,18.669,1.6776,32.806,13.893,23.826,19.072,2.2753,4.8153,2.2131,0.84066,0.095204,43.38,62.972,54.161,30.061,62.472,22.326,41.001,51.57,41.206,19.942
142940,0,286,441,0.2642,3687.9,9.4079,42.066,75.438,120.41,0.3331,66.363,246.83,94.6,77.365,9.1494,26.734,19.135,1.6512,32.875,13.902,23.681,18.775,2.2924,4.8671,2.2799,0.84486,0.10008,43.966,62.324,53.687,25.625,62.362,21.474,40.096,51.616,40.708,15.489
142961,0,286,462,0.25094,3654.5,9.4365,42.097,75.193,120.37,0.3319,66.677,247.52,94.761,77.409,9.051,25.511,18.969,1.6688,32.788,14.017,23.27,19.03,2.3216,4.9646,2.3112,0.84035,0.10761,43.752,62.54,53.129,24.642,59.635,21.081,39.937,52.387,39.958,19.926
142970,0,286,471,0.25633,3658.1,9.3254,42.052,74.969,120.42,0.35261,66.677,249.79,94.545,77.159,9.0216,25.542,18.586,1.6894,32.628,14.049,23.642,19.022,2.2978,4.9453,2.3203,0.83494,0.086669,43.055,62.922,52.967,25.193,62.71,21.783,42.125,52.978,41.252,20.75
142993,0,286,494,0.20623,3654.2,9.3819,42.276,74.638,120.4,0.33781,66.21,246.82,94.374,77.455,9.052,26.362,18.029,1.6405,33.168,13.685,24.361,17.964,2.3105,4.7794,2.2722,0.8224,0.10026,45.126,63.318,54.165,20.135,61.01,23.573,39.155,51.183,41.23,17.741
147261,0,295,262,0.32467,3663.9,9.276,42.387,74.112,120.42,0.36099,65.894,234.69,94.44,77.65,9.0447,26.45,18.885,1.6654,33.074,13.807,23.647,18.839,2.2773,4.8125,2.3477,0.83935,0.10036,44.04,63.462,53.485,32.367,62.847,21.877,43.462,48.274,41.37,17.66
147285,0,295,286,0.2861,3692.4,9.3214,42.679,74.568,120.4,0.34209,66.085,235.55,94.41,77.158,8.9831,25.904,18.634,1.6627,32.902,13.785,23.757,18.736,2.3049,4.9718,2.3156,0.83967,0.10096,43.579,64.167,54.117,28.272,62.784,21.956,40.461,49.928,41.15,19.552
147294,0,295,295,0.25148,3667.5,9.3464,42.317,74.76,120.42,0.33689,66.287,242.42,94.506,77.791,8.7394,25.935,18.958,1.7012,32.789,13.853,23.879,19.017,2.2434,4.8648,2.3897,0.83912,0.10507,43.568,62.984,53.924,24.55,61.891,21.795,40.655,50.47,41.587,17.181
147317,0,295,318,0.25645,3594.3,9.4061,42.351,75.153,120.39,0.3361,66.25,243.64,94.685,77.536,8.7116,26.084,18.331,1.6404,33.37,13.902,23.365,18.3,2.2772,4.7947,2.3204,0.82008,0.095351,43.87,62.509,54.215,25.594,60.229,22.341,40.046,51.198,40.794,16.5
147322,0,295,323,0.24477,3606.9,9.4843,41.898,74.795,120.38,0.33831,66.157,241.7,94.8,77.396,9.1002,26.24,18.556,1.6813,33.585,13.862,23.399,18.128,2.2911,4.8779,2.2917,0.81791,0.086218,44.473,62.265,53.401,24.194,61.218,22.453,40.234,50.712,40.084,19.789
147327,0,295,328,0.23136,3714.0,9.3922,42.543,75.548,120.39,0.3384,66.174,239.61,94.472,76.855,8.8399,26.394,18.531,1.6621,33.202,13.786,23.762,18.195,2.2751,4.8722,2.4307,0.80857,0.084211,44.147,64.107,54.259,22.523,61.127,22.502,38.926,49.99,40.694,16.18
147340,0,295,341,0.22984,3678.4,9.2782,42.269,75.02,120.4,0.34132,65.751,227.83,94.648,77.02,9.1184,26.243,18.608,1.6838,32.969,13.899,23.649,18.748,2.2606,4.8841,2.2991,0.82627,0.079047,44.247,62.791,53.498,22.503,62.918,22.046,40.466,47.26,41.268,16.004
147342,0,295,343,0.24013,3632.3,9.3925,42.248,76.159,120.42,0.34433,65.784,228.67,94.596,77.335,8.901,26.341,18.983,1.7122,33.557,13.608,23.626,18.115,2.2732,4.8463,2.332,0.82627,0.079047,44.247,62.784,54.072,23.518,60.128,22.212,41.308,46.883,40.975,17.842
147347,0,295,348,0.23572,3602.2,9.2934,42.242,75.133,120.38,0.33234,65.709,223.9,94.692,77.093,8.7788,26.205,18.938,1.698,33.45,13.796,23.826,18.678,2.295,4.9368,2.394,0.82371,0.10816,43.922,62.986,54.17,23.527,63.098,22.247,39.507,46.594,40.485,17.715
147357,0,295,358,0.25038,3641.7,9.4524,42.231,73.905,120.39,0.33474,65.515,225.23,94.631,77.417,8.9489,25.91,18.428,1.6923,32.592,13.844,24.269,18.252,2.2541,4.944,2.2872,0.83289,0.10843,43.393,63.353,53.992,24.272,59.939,22.737,39.961,45.684,40.708,18.531
147366,0,295,367,0.28127,3682.3,9.4529,42.102,74.678,120.41,0.34382,65.543,221.79,94.515,77.156,8.687,26.21,18.567,1.6761,32.943,13.81,23.857,18.815,2.2559,4.8174,2.3469,0.84245,0.091298,44.01,62.587,54.565,27.916,60.54,22.345,40.85,45.412,41.619,17.925
147404,0,295,405,0.23103,3675.1,9.2496,42.097,74.212,120.42,0.34122,65.335,226.13,94.464,77.243,8.9729,26.487,18.671,1.6311,32.637,13.682,24.438,19.026,2.2768,4.797,2.2719,0.83426,0.091281,44.9,63.586,54.21,22.993,62.278,22.115,41.193,45.95,41.791,18.295
147419,0,295,420,0.26803,3651.1,9.3696,42.383,74.864,120.4,0.32287,65.633,229.26,94.817,76.713,8.8029,26.604,19.24,1.6721,32.888,13.925,24.25,18.962,2.2882,4.9065,2.3218,0.84048,0.1068,44.008,62.797,53.761,26.595,60.198,21.746,38.866,46.937,39.746,17.702
147422,0,295,423,0.21434,3670.3,9.39,42.132,74.955,120.42,0.33005,65.623,229.97,94.63,77.635,8.8664,26.457,18.98,1.6691,32.525,13.943,24.07,18.752,2.2854,4.7762,2.2578,0.85658,0.10668,44.92,64.104,54.26,21.076,60.616,21.868,40.111,46.904,41.602,19.692
147425,0,295,426,0.22875,3768.8,9.246,42.383,75.211,120.42,0.35289,65.771,228.97,94.488,77.017,9.0195,26.509,18.862,1.701,32.621,13.865,23.975,18.912,2.2362,4.8231,2.2337,0.86512,0.10748,44.138,63.425,53.923,22.33,60.553,20.897,41.901,47.57,41.493,17.319
147440,0,295,441,0.28092,3633.6,9.247,42.312,74.677,120.41,0.32245,66.193,240.77,94.951,77.335,9.0201,26.396,19.078,1.6208,32.067,13.66,23.607,19.194,2.263,4.9511,2.3513,0.86172,0.11406,43.418,62.022,53.693,27.524,63.285,20.926,39.261,50.144,41.648,17.168
147461,0,295,462,0.28445,3639.8,9.3525,42.684,75.37,120.42,0.35937,66.761,255.76,94.652,77.442,8.7712,26.482,18.831,1.6422,32.879,13.726,23.745,18.815,2.2619,4.926,2.2336,0.83696,0.091461,43.854,63.236,52.436,28.118,61.974,22.015,41.796,54.523,41.137,15.41
147470,0,295,471,0.26652,3683.3,9.4946,42.666,74.985,120.39,0.36262,66.671,258.62,94.403,77.24,9.1022,26.469,18.697,1.6539,33.267,13.731,23.794,18.475,2.2739,4.8261,2.2897,0.81186,0.083086,42.945,62.877,53.414,25.911,61.237,22.767,42.837,54.503,41.061,16.607
147493,0,295,494,0.2132,3641.3,9.4966,42.689,75.93,120.4,0.34925,66.153,236.56,94.812,76.93,8.8753,26.091,17.891,1.6468,33.047,13.749,24.012,18.663,2.2293,4.8096,2.2091,0.80816,0.07958,44.138,63.526,53.843,21.315,59.955,22.528,41.77,49.366,41.288,15.458
158761,0,318,262,0.26288,3656.2,9.3047,42.175,75.441,120.39,0.33193,65.138,214.75,94.845,77.155,9.0385,26.482,19.123,1.6441,32.397,13.654,23.824,18.737,2.3124,4.796,2.3146,0.82581,0.11657,44.037,62.45,54.549,26.338,60.21,21.543,40.027,43.279,40.196,15.797
158785,0,318,286,0.26639,3673.7,9.2125,42.408,74.184,120.41,0.34676,65.452,222.94,94.523,77.569,9.1604,26.014,18.616,1.6574,32.862,13.97,24.097,18.988,2.2892,4.8052,2.3041,0.86119,0.097142,42.562,63.681,53.562,26.295,60.92,21.469,41.251,45.577,40.834,17.175
158794,0,318,295,0.2318,3668.2,9.4491,42.351,74.31,120.39,0.34317,65.768,229.42,94.603,77.514,8.8514,26.221,18.694,1.6745,33.356,13.932,23.656,18.281,2.265,4.9913,2.3178,0.85478,0.10831,43.436,62.895,53.576,22.726,60.741,22.099,40.506,47.949,41.027,17.701
158817,0,318,318,0.25161,3670.7,9.3595,42.361,75.035,120.4,0.33638,66.281,247.43,94.722,77.411,9.0945,26.314,18.874,1.6443,33.147,13.738,23.611,18.242,2.2434,4.7981,2.4412,0.81353,0.10167,44.085,62.003,53.436,24.823,60.377,22.268,39.327,51.185,40.284,16.586
158822,0,318,323,0.26647,3678.5,9.3471,42.088,74.771,120.42,0.34115,66.207,244.67,94.663,77.068,8.873,26.368,18.818,1.6152,33.203,13.704,24.026,18.504,2.2883,5.0328,2.3705,0.80651,0.10459,44.012,63.472,53.864,26.131,62.304,22.353,39.991,50.587,41.478,17.696
158827,0,318,328,0.28714,3659.3,9.2739,42.431,74.657,120.4,0.32957,66.199,239.91,94.656,77.159,9.0521,26.311,18.936,1.6918,32.988,13.818,24.442,18.616,2.2436,4.8479,2.1843,0.80648,0.092483,43.842,62.253,54.71,28.281,62.294,22.731,38.556,49.586,41.38,19.148
158840,0,318,341,0.25592,3697.8,9.2886,42.056,74.958,120.38,0.34013,65.961,231.17,94.59,77.539,9.0611,26.18,19.163,1.6844,33.093,13.866,24.018,18.33,2.2844,4.9503,2.2638,0.81473,0.098379,44.568,63.041,53.65,24.907,61.903,22.038,40.385,47.783,41.3,16.722
158842,0,318,343,0.22488,3619.7,9.3639,42.028,74.795,120.37,0.34453,65.931,228.49,94.812,77.317,8.7909,25.946,18.955,1.6707,32.886,13.707,23.731,18.852,2.2517,4.8151,2.2574,0.81473,0.098379,44.568,62.873,53.742,22.31,58.929,21.873,40.632,47.263,40.887,16.783
158847,0,318,348,0.19019,3688.6,9.2276,42.333,75.997,120.4,0.34755,65.76,226.28,94.689,77.206,8.8868,25.838,18.583,1.6774,33.441,14.03,24.075,18.849,2.2631,4.8289,2.3175,0.81833,0.10201,43.525,64.09,53.846,18.95,63.393,21.528,41.014,46.073,41.051,15.68
158857,0,318,358,0.25087,3634.3,9.2966,42.263,74.167,120.42,0.36007,65.646,220.45,94.771,77.27,8.8384,26.321,18.839,1.6375,32.431,13.941,23.906,19.309,2.2354,4.8834,2.2651,0.84043,0.095667,42.903,62.9,54.106,24.411,63.792,21.308,42.461,45.367,41.026,17.302
158866,0,318,367,0.21582,3689.2,9.3069,42.229,73.905,120.42,0.32364,65.624,221.62,94.595,76.956,8.8949,26.495,19.074,1.6692,33.098,13.922,23.594,19.064,2.3067,4.8491,2.2895,0.84873,0.11282,43.537,62.824,53.634,21.019,63.168,21.554,38.866,45.73,41.735,18.972
158904,0,318,405,0.26057,3641.6,9.2581,42.391,75.854,120.38,0.33753,65.465,223.23,94.627,77.029,8.8058,26.631,18.557,1.623,32.875,13.826,23.995,18.176,2.282,4.8311,2.2237,0.83964,0.10026,44.332,63.043,54.932,25.565,59.683,22.263,39.846,45.489,41.208,17.542
158919,0,318,420,0.22812,3707.2,9.1588,42.04,75.12,120.42,0.36213,65.424,219.53,94.544,77.341,8.9234,26.536,19.113,1.6503,32.482,13.816,23.985,18.606,2.223,4.821,2.3634,0.84926,0.087883,43.427,63.704,53.683,22.347,62.998,21.393,43.15,44.816,41.104,15.318
158922,0,318,423,0.3041,3668.7,9.125,42.485,75.181,120.37,0.35409,65.569,222.22,94.701,76.933,8.9601,26.43,19.443,1.685,32.318,13.877,23.802,19.127,2.263,4.8467,2.3166,0.84156,0.10648,43.029,62.701,53.509,29.747,63.209,21.269,42.54,45.333,39.774,18.049
158925,0,318,426,0.32396,3659.1,9.3056,42.217,76.395,120.42,0.34413,65.685,221.45,94.582,77.091,8.9154,26.652,19.153,1.6248,32.253,13.707,23.585,19.058,2.3137,4.8801,2.3605,0.86312,0.099616,43.386,63.505,52.742,32.184,61.031,21.038,40.491,45.598,41.488,19.008
158940,0,318,441,0.28882,3657.0,9.3409,42.388,74.429,120.38,0.34361,65.963,231.97,94.677,77.012,8.986,25.96,18.585,1.7095,33.266,13.879,23.396,18.191,2.2564,4.9315,2.3108,0.85148,0.12741,43.757,62.751,54.222,28.514,62.627,21.35,40.371,48.45,40.246,18.66
158961,0,318,462,0.23709,3703.5,9.4933,42.509,75.325,120.4,0.32732,66.179,239.91,94.376,77.653,8.9933,26.628,18.572,1.639,33.55,13.662,23.636,18.776,2.2811,4.8827,2.3385,0.82425,0.099342,43.475,62.897,54.293,23.606,59.537,22.599,38.868,49.989,42.072,19.884
158970,0,318,471,0.23385,3658.2,9.2536,41.958,75.787,120.39,0.33551,65.953,238.05,94.662,77.729,8.8989,26.445,18.263,1.6265,32.683,13.842,24.158,18.357,2.2565,4.8007,2.2951,0.81717,0.090747,44.286,63.068,54.078,23.201,60.748,22.355,39.364,49.563,40.635,20.071
158993,0,318,494,0.23127,3651.0,9.3817,42.456,75.163,120.39,0.31973,65.757,229.28,94.802,77.192,8.8862,26.064,18.341,1.681,33.316,13.769,23.983,18.589,2.2987,4.8191,2.3751,0.82277,0.10782,44.751,62.54,54.384,22.469,61.29,22.094,38.252,47.363,40.582,14.498
161261,0,323,262,0.26772,3700.1,9.3445,42.273,74.87,120.43,0.34428,65.829,231.41,94.431,77.376,8.7945,26.311,18.898,1.6199,32.974,13.987,24.036,18.537,2.2098,4.7446,2.3871,0.84438,0.10742,43.369,63.359,54.363,26.493,60.375,21.97,40.4,47.917,41.915,17.471
161285,0,323,286,0.21323,3591.1,9.474,41.883,75.434,120.34,0.33259,65.842,235.46,94.797,77.584,8.8637,26.604,18.312,1.6376,33.401,13.881,23.954,18.168,2.247,4.857,2.2165,0.80963,0.11595,43.363,62.518,53.35,20.776,60.587,23.612,39.336,48.656,39.744,18.708
161294,0,323,295,0.21348,3692.4,9.3331,42.556,74.942,120.39,0.33606,65.557,227.85,94.584,77.401,8.7661,26.732,18.443,1.636,33.303,13.765,24.603,17.991,2.2628,4.8389,2.2774,0.80147,0.092341,44.194,63.496,54.026,21.631,62.133,23.076,40.515,46.675,41.865,17.26
161317,0,323,318,0.23277,3663.8,9.3853,42.249,75.124,120.38,0.32512,65.064,210.4,94.973,76.8,8.9289,26.67,18.626,1.6195,32.844,13.678,23.729,18.519,2.2267,4.9057,2.3628,0.83916,0.11239,43.927,62.791,53.941,22.695,58.994,21.726,38.947,42.491,40.072,16.58
161322,0,323,323,0.24901,3716.9,9.2747,41.886,75.342,120.39,0.33362,64.977,211.36,94.427,77.251,8.9961,26.609,18.788,1.6633,32.762,14.013,24.319,18.846,2.2483,4.8809,2.2548,0.84353,0.10488,44.249,62.92,54.236,24.763,62.451,21.784,39.333,42.223,41.136,17.314
161327,0,323,328,0.2535,3672.3,9.3379,42.474,74.895,120.4,0.3335,65.065,210.74,94.771,76.752,8.9394,26.192,18.662,1.6651,32.449,13.955,24.137,18.638,2.2318,4.9374,2.3663,0.86969,0.097528,44.503,62.355,53.086,24.862,59.903,20.872,40.349,42.421,40.288,15.805
161340,0,323,341,0.31629,3673.0,9.3116,42.122,74.276,120.42,0.34351,65.352,221.31,94.581,77.287,8.8951,25.931,18.981,1.6536,32.686,13.825,23.322,18.909,2.2651,4.7427,2.293,0.85603,0.09854,44.594,61.648,53.57,31.151,60.542,21.441,41.52,44.929,40.63,15.999
161342,0,323,343,0.31973,3654.0,9.3026,42.399,74.58,120.37,0.34005,65.433,224.24,94.675,77.507,8.885,26.214,19.502,1.6674,32.155,13.954,23.688,19.495,2.2439,4.8384,2.2625,0.85603,0.09854,44.594,62.708,53.885,31.811,60.697,21.486,39.986,45.675,41.174,18.308
161347,0,323,348,0.29868,3650.2,9.3033,42.576,75.182,120.43,0.33795,65.55,225.91,94.649,77.287,8.7306,25.605,19.011,1.6801,33.065,13.843,23.901,18.621,2.2591,4.9502,2.3206,0.86968,0.12852,44.125,63.23,54.018,29.242,62.534,21.989,39.957,46.893,41.176,19.515
161357,0,323,358,0.21978,3652.9,9.4974,42.121,75.051,120.37,0.33621,65.967,236.62,94.556,76.802,8.8385,25.908,18.753,1.6713,33.303,14.075,23.475,18.71,2.267,4.8518,2.2644,0.85181,0.10011,43.546,63.231,54.388,21.446,62.36,22.375,40.153,49.436,41.112,18.451
